De;Vers;Km;Minutes
1186 ST QUENTIN SCHUMANN SUPER;1186 ST QUENTIN SCHUMANN SUPER;0;0
1186 ST QUENTIN SCHUMANN SUPER;BEAUVAIS;138;150
1186 ST QUENTIN SCHUMANN SUPER;CAMBRAI;53;60
1186 ST QUENTIN SCHUMANN SUPER;CHRONO COMPIEGNE 4345;76;90
1186 ST QUENTIN SCHUMANN SUPER;DOUAI;69;75
1186 ST QUENTIN SCHUMANN SUPER;DRIVE CAMBRAI;53;60
1186 ST QUENTIN SCHUMANN SUPER;DRIVE DOUAI;69;75
1186 ST QUENTIN SCHUMANN SUPER;DRIVE LEERS;120;120
1186 ST QUENTIN SCHUMANN SUPER;DRIVE RONCQ;123;135
1186 ST QUENTIN SCHUMANN SUPER;DRIVE ST QUENTIN;5;15
1186 ST QUENTIN SCHUMANN SUPER;DURY;82;90
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS BINAT;85;90
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS SAINT SAUVEUR FLEG;91;105
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS SAINT SAUVEUR PF;91;105
1186 ST QUENTIN SCHUMANN SUPER;ENT AMIENS SUPER POULAINVILLE PGC;86;90
1186 ST QUENTIN SCHUMANN SUPER;ENT CARVIN FL;92;105
1186 ST QUENTIN SCHUMANN SUPER;ENT CARVIN PF;92;105
1186 ST QUENTIN SCHUMANN SUPER;ENT IENA;103;105
1186 ST QUENTIN SCHUMANN SUPER;ENT SAINGHIN1;107;120
1186 ST QUENTIN SCHUMANN SUPER;ENT SOCOPAL DIEPPE;168;180
1186 ST QUENTIN SCHUMANN SUPER;HIRSON;68;75
1186 ST QUENTIN SCHUMANN SUPER;LEERS;120;120
1186 ST QUENTIN SCHUMANN SUPER;MERU;164;165
1186 ST QUENTIN SCHUMANN SUPER;NOGENT SUR OISE;109;120
1186 ST QUENTIN SCHUMANN SUPER;NOYELLES GODAULT;81;90
1186 ST QUENTIN SCHUMANN SUPER;NOYON;50;60
1186 ST QUENTIN SCHUMANN SUPER;RONCQ;123;135
1186 ST QUENTIN SCHUMANN SUPER;SOCOPAL;168;180
1186 ST QUENTIN SCHUMANN SUPER;VILLENEUVE 2;108;120
1186 ST QUENTIN SCHUMANN SUPER;VIRY NOUREUIL;29;30
1267 CALAIS DELAROCHE SUPER;1267 CALAIS DELAROCHE SUPER;0;0
1267 CALAIS DELAROCHE SUPER;4926 BILLY BERCLAU SUPER;106;120
1267 CALAIS DELAROCHE SUPER;AUCHAN CITY TOURCOING;121;135
1267 CALAIS DELAROCHE SUPER;BOULOGNE;39;45
1267 CALAIS DELAROCHE SUPER;CALAIS;5;15
1267 CALAIS DELAROCHE SUPER;CHRONO COMPIEGNE 4345;215;225
1267 CALAIS DELAROCHE SUPER;CHRONO COUDEKERQUE 4242;44;45
1267 CALAIS DELAROCHE SUPER;CHRONO HALLENNES 4167;101;105
1267 CALAIS DELAROCHE SUPER;DRIVE BOULOGNE;37;45
1267 CALAIS DELAROCHE SUPER;DRIVE CALAIS;5;15
1267 CALAIS DELAROCHE SUPER;DRIVE LEERS;126;135
1267 CALAIS DELAROCHE SUPER;DRIVE RONCQ;122;135
1267 CALAIS DELAROCHE SUPER;DRIVE ST OMER;45;45
1267 CALAIS DELAROCHE SUPER;DUNKERQUE;35;45
1267 CALAIS DELAROCHE SUPER;DURY;158;165
1267 CALAIS DELAROCHE SUPER;ENGLOS;101;105
1267 CALAIS DELAROCHE SUPER;ENT AMIENS BINAT;156;165
1267 CALAIS DELAROCHE SUPER;ENT AMIENS SAINT SAUVEUR FLEG;154;165
1267 CALAIS DELAROCHE SUPER;ENT AMIENS SAINT SAUVEUR PF;154;165
1267 CALAIS DELAROCHE SUPER;ENT AMIENS SUPER POULAINVILLE PGC;156;165
1267 CALAIS DELAROCHE SUPER;ENT CARVIN FL;111;120
1267 CALAIS DELAROCHE SUPER;ENT CARVIN PF;111;120
1267 CALAIS DELAROCHE SUPER;ENT IENA;116;120
1267 CALAIS DELAROCHE SUPER;ENT SAINGHIN1;119;120
1267 CALAIS DELAROCHE SUPER;ENT SOCOPAL DIEPPE;184;195
1267 CALAIS DELAROCHE SUPER;LEERS;126;135
1267 CALAIS DELAROCHE SUPER;RONCQ;122;135
1267 CALAIS DELAROCHE SUPER;SOCOPAL;184;195
1267 CALAIS DELAROCHE SUPER;ST OMER;46;60
1297 HARNES SUPER;1297 HARNES SUPER;0;0
1297 HARNES SUPER;4926 BILLY BERCLAU SUPER;11;15
1297 HARNES SUPER;ARRAS;29;30
1297 HARNES SUPER;AUCHAN CITY TOURCOING;40;45
1297 HARNES SUPER;BETHUNE;30;30
1297 HARNES SUPER;CHRONO AVELIN 4361;18;30
1297 HARNES SUPER;CHRONO BONDUES 4703;40;45
1297 HARNES SUPER;CHRONO ELEU DIT LEAUWETTE 4462;10;15
1297 HARNES SUPER;CHRONO HALLENNES 4167;27;30
1297 HARNES SUPER;CHRONO LAMBERSART 4424;34;45
1297 HARNES SUPER;CHRONO WASQUEHAL 4303;35;45
1297 HARNES SUPER;DOUAI;25;30
1297 HARNES SUPER;DRIVE BETHUNE;30;30
1297 HARNES SUPER;DRIVE DOUAI;25;30
1297 HARNES SUPER;DRIVE ENGLOS;31;45
1297 HARNES SUPER;DRIVE LEERS;40;45
1297 HARNES SUPER;DRIVE RONCQ;43;45
1297 HARNES SUPER;DRIVE VALENCIENNES;57;60
1297 HARNES SUPER;DURY;91;105
1297 HARNES SUPER;ENGLOS;31;45
1297 HARNES SUPER;ENT AMIENS BINAT;101;105
1297 HARNES SUPER;ENT AMIENS SAINT SAUVEUR FLEG;106;120
1297 HARNES SUPER;ENT AMIENS SAINT SAUVEUR PF;106;120
1297 HARNES SUPER;ENT AMIENS SUPER POULAINVILLE PGC;90;90
1297 HARNES SUPER;ENT CARVIN FL;8;15
1297 HARNES SUPER;ENT CARVIN PF;8;15
1297 HARNES SUPER;ENT IENA;23;30
1297 HARNES SUPER;ENT SAINGHIN1;27;30
1297 HARNES SUPER;ENT SOCOPAL DIEPPE;205;210
1297 HARNES SUPER;LEERS;40;45
1297 HARNES SUPER;RONCQ;43;45
1297 HARNES SUPER;SOCOPAL;205;210
1297 HARNES SUPER;VALENCIENNES;57;60
1297 HARNES SUPER;VILLENEUVE 2;28;30
4313 CANTELEU SUPER;4313 CANTELEU SUPER;0;0
4313 CANTELEU SUPER;CERGY CHRONODRIVE 469;119;120
4313 CANTELEU SUPER;CHRONO IFS;128;135
4313 CANTELEU SUPER;CORMEILLES EN PARISIS CHRONODRIVE 413;132;135
4313 CANTELEU SUPER;DIEPPE;58;60
4313 CANTELEU SUPER;ENT AMIENS BINAT;131;135
4313 CANTELEU SUPER;ENT AMIENS SAINT SAUVEUR FLEG;128;135
4313 CANTELEU SUPER;ENT AMIENS SAINT SAUVEUR PF;128;135
4313 CANTELEU SUPER;ENT AMIENS SUPER POULAINVILLE PGC;130;135
4313 CANTELEU SUPER;ENT IENA;256;270
4313 CANTELEU SUPER;ENT IENA1;257;270
4313 CANTELEU SUPER;ENT IENA2;257;270
4313 CANTELEU SUPER;ENT SAINGHIN1;260;270
4313 CANTELEU SUPER;FRANQUEVILLE CHRONODRIVE 4475;14;15
4313 CANTELEU SUPER;LE HAVRE;91;105
4313 CANTELEU SUPER;MONTIVILLIERS;84;90
4313 CANTELEU SUPER;VAL DE REUIL SUPER 1209;39;45
4536 LILLE WAZEMMES MY AUCHAN;1267 CALAIS DELAROCHE SUPER;108;120
4536 LILLE WAZEMMES MY AUCHAN;1297 HARNES SUPER;29;30
4536 LILLE WAZEMMES MY AUCHAN;4536 LILLE WAZEMMES MY AUCHAN;0;0
