Zone Entrepôt;Entrepôt de départ;Zone Livraison;Centre Commercial;Lieu de livraison;Marchandise;UT;Jour de chargement
AMS;ENT AMIENS BINAT;AISNE;;1186 ST QUENTIN SCHUMANN SUPER;PGC;1,0;LUNDI
AMS;ENT AMIENS BINAT;LENS;;1297 HARNES SUPER;PGC;3,7;LUNDI
AMS;ENT AMIENS BINAT;LILLE;;4536 LILLE WAZEMMES MY AUCHAN;PGC;1,1;LUNDI
AMS;ENT AMIENS BINAT;LENS;;4926 BILLY BERCLAU SUPER;PGC;2,4;LUNDI
AMS;ENT AMIENS BINAT;LENS;;ARRAS;PGC;9,3;LUNDI
AMS;ENT AMIENS BINAT;LILLE;;AUCHAN CITY TOURCOING;PGC;7,1;LUNDI
AMS;ENT AMIENS BINAT;LENS;;BETHUNE;PGC;12,7;LUNDI
AMS;ENT AMIENS BINAT;COTE OPALE;;BOULOGNE;PGC;10,1;LUNDI
AMS;ENT AMIENS BINAT;COTE OPALE;;CALAIS;PGC;8,7;LUNDI
AMS;ENT AMIENS BINAT;COTE NORMANDE;;CHERBOURG;PGC;13,5;LUNDI
AMS;ENT AMIENS BINAT;LILLE;;CHRONO AVELIN 4361;PGC;9,0;LUNDI
AMS;ENT AMIENS BINAT;COTE OPALE;;CHRONO COUDEKERQUE 4242;PGC;8,1;LUNDI
AMS;ENT AMIENS BINAT;LILLE;;CHRONO CROIX 4154;PGC;7,4;LUNDI
AMS;ENT AMIENS BINAT;LILLE;;CHRONO HALLENNES 4167;PGC;5,3;LUNDI
AMS;ENT AMIENS BINAT;LILLE;;CHRONO MARCQ 4128;PGC;12,7;LUNDI
AMS;ENT AMIENS BINAT;AVESNOIS;;CHRONO VALENCIENNES 4370;PGC;4,2;LUNDI
AMS;ENT AMIENS BINAT;COTE NORMANDE;;DIEPPE;PGC;5,6;LUNDI
AMS;ENT AMIENS BINAT;LENS;;DOUAI;PGC;10,5;LUNDI
AMS;ENT AMIENS BINAT;LENS;;DRIVE ARRAS;PGC;2,4;LUNDI
AMS;ENT AMIENS BINAT;LENS;;DRIVE BETHUNE;PGC;2,5;LUNDI
AMS;ENT AMIENS BINAT;COTE OPALE;;DRIVE BOULOGNE;PGC;5,5;LUNDI
AMS;ENT AMIENS BINAT;COTE OPALE;;DRIVE CALAIS;PGC;3,4;LUNDI
AMS;ENT AMIENS BINAT;LENS;;DRIVE CAMBRAI;PGC;3,8;LUNDI
AMS;ENT AMIENS BINAT;COTE NORMANDE;;DRIVE CHERBOURG;PGC;1,9;LUNDI
AMS;ENT AMIENS BINAT;COTE NORMANDE;;DRIVE DIEPPE;PGC;3,6;LUNDI
AMS;ENT AMIENS BINAT;LENS;;DRIVE DOUAI;PGC;2,3;LUNDI
AMS;ENT AMIENS BINAT;COTE OPALE;;DRIVE DUNKERQUE;PGC;1,8;LUNDI
AMS;ENT AMIENS BINAT;AMIENS;;DRIVE DURY;PGC;3,0;LUNDI
